person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
76001,Alaa,Abdelnaby,AlaaAbdelnaby,AbdelnabyAlaa,AAbdelnaby,alaaabdelnaby,19680624000000,Duke,USA,DukeUSA,610,240.0,5.0,30,Forward,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,HISTADDalaaabdelnaby,1990.0,1994.0,N,Y,Y,1990,1,25,N
76003,Kareem,AbdulJabbar,KareemAbdulJabbar,AbdulJabbarKareem,KAbdulJabbar,kareemabduljabbar,19470416000000,UCLA,USA,UCLAUSA,72,225.0,20.0,33,Center,Inactive,N,1610612747,Lakers,LAL,lakers,LosAngeles,HISTADDkareemabduljabbar,1969.0,1988.0,N,Y,Y,1969,1,1,Y
1505,Tariq,AbdulWahad,TariqAbdulWahad,AbdulWahadTariq,TAbdulWahad,tariqabdulwahad,19741103000000,SanJoseState,France,SanJoseStateFrance,66,235.0,7.0,9,ForwardGuard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tariqabdulwahad,1997.0,2003.0,N,Y,Y,1997,1,11,N
949,Shareef,AbdurRahim,ShareefAbdurRahim,AbdurRahimShareef,SAbdurRahim,shareefabdurrahim,19761211000000,California,USA,CaliforniaUSA,69,245.0,13.0,3,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareefabdurrahim,1996.0,2007.0,N,Y,Y,1996,1,3,N
76005,Tom,Abernethy,TomAbernethy,AbernethyTom,TAbernethy,tomabernethy,19540506000000,Indiana,USA,IndianaUSA,67,220.0,5.0,5,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,GoldenState,HISTADDtomabernethy,1976.0,1980.0,N,Y,Y,1976,3,43,N
1630173,Precious,Achiuwa,PreciousAchiuwa,AchiuwaPrecious,PAchiuwa,preciousachiuwa,19990919000000,Memphis,Nigeria,MemphisNigeria,68,225.0,3.0,5,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,preciousachiuwa,2020.0,2023.0,N,Y,Y,2020,1,20,N
101165,Alex,Acker,AlexAcker,AckerAlex,AAcker,alexacker,19830121000000,Pepperdine,USA,PepperdineUSA,65,185.0,3.0,3,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,LosAngeles,alexacker,2005.0,2008.0,Y,Y,Y,2005,2,60,N
76009,Mark,Acres,MarkAcres,AcresMark,MAcres,markacres,19621115000000,OralRoberts,USA,OralRobertsUSA,611,220.0,6.0,42,Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADDmarkacres,1987.0,1992.0,N,Y,Y,1985,2,40,N
76010,Charles,Acton,CharlesActon,ActonCharles,CActon,charlesacton,19420111000000,Hillsdale,USA,HillsdaleUSA,66,210.0,1.0,24,Forward,Inactive,N,1610612745,Rockets,SDR,rockets,SanDiego,HISTADDbudacton,1967.0,1967.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
76011,Alvan,Adams,AlvanAdams,AdamsAlvan,AAdams,alvanadams,19540719000000,Oklahoma,USA,OklahomaUSA,69,210.0,13.0,33,Center,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,HISTADDalvanadams,1975.0,1987.0,N,Y,Y,1975,1,4,N
76012,Don,Adams,DonAdams,AdamsDon,DAdams,donadams,19471127000000,Northwestern,USA,NorthwesternUSA,67,210.0,7.0,10,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADDdonadams,1970.0,1976.0,N,Y,Y,1970,8,120,N
203919,Jordan,Adams,JordanAdams,AdamsJordan,JAdams,jordanadams,19940708000000,UCLA,USA,UCLAUSA,65,209.0,3.0,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordanadams,2014.0,2015.0,Y,Y,Y,2014,1,22,N
