person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
79299,CliftonMcNeeley,1947,1,1,1,Draft,1610610031,Pittsburgh,Ironmen,PIT,TexasElPaso,CollegeUniversity,0
78109,GlenSelbo,1947,1,2,2,Draft,1610610035,Toronto,Huskies,HUS,Wisconsin,CollegeUniversity,1
76649,EddieEhlers,1947,1,3,3,Draft,1610612738,Boston,Celtics,BOS,Purdue,CollegeUniversity,1
79302,WaltDropo,1947,1,4,4,Draft,1610610032,Providence,Steamrollers,PRO,Connecticut,CollegeUniversity,0
77048,DickHolub,1947,1,5,5,Draft,1610612752,NewYork,Knicks,NYK,LongIslandBrooklyn,CollegeUniversity,1
76479,FrancisCrossin,1947,1,6,6,Draft,1610612744,Philadelphia,Warriors,PHW,Pennsylvania,CollegeUniversity,1
79311,JackUnderman,1947,1,7,7,Draft,1610610034,StLouis,Bombers,BOM,OhioState,CollegeUniversity,0
77088,PaulHuston,1947,1,8,8,Draft,1610610025,Chicago,Stags,CHS,OhioState,CollegeUniversity,1
77752,DickOKeefe,1947,1,9,9,Draft,1610610036,Washington,Capitols,WAS,SantaClara,CollegeUniversity,1
79321,LarryKillick,1947,1,10,10,Draft,1610610024,Baltimore,Bullets,BAL,Vermont,CollegeUniversity,0
79314,WimpyQuinn,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Oregon,CollegeUniversity,0
79315,BillBurke,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,StMarysMD,CollegeUniversity,0
79316,AbelRodriguez,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,SanFrancisco,CollegeUniversity,0
79317,RobertBolyard,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Toledo,CollegeUniversity,0
79318,ScottyHamilton,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,WestVirginia,CollegeUniversity,0
79319,HughHampton,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,HighPoint,CollegeUniversity,0
79320,BobJake,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Vermont,CollegeUniversity,0
79322,CharlesRaynor,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Houston,CollegeUniversity,0
79323,JohnRusinko,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,PennState,CollegeUniversity,0
78070,BenSchadler,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Northwestern,CollegeUniversity,1
78185,DonaldSmith,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Minnesota,CollegeUniversity,1
78275,GeneStump,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,DePaul,CollegeUniversity,1
77452,JohnMandic,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,OregonState,CollegeUniversity,1
77462,SaulMariaschin,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Harvard,CollegeUniversity,1
77613,WatMisaka,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Utah,CollegeUniversity,1
77684,FredNagy,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,Akron,CollegeUniversity,1
77686,PaulNapolitano,1947,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,SanFrancisco,CollegeUniversity,1
78344,JackTingle,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Kentucky,CollegeUniversity,1
78402,GeneVance,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Illinois,CollegeUniversity,1
77853,AndyPhillip,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Illinois,CollegeUniversity,1
77867,JimPollard,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Stanford,CollegeUniversity,1
77938,JosephReiser,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,NewYorkUniversity,CollegeUniversity,1
77999,RedRocha,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,OregonState,CollegeUniversity,1
78023,IrvRothenberg,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,LongIslandBrooklyn,CollegeUniversity,1
76407,PaulCloyd,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Wisconsin,CollegeUniversity,1
76507,JimmyDarden,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Denver,CollegeUniversity,1
76615,AndyDuncan,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,WilliamMary,CollegeUniversity,1
76689,JohnnyEzersky,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,RhodeIsland,CollegeUniversity,1
76769,ElmerRGainer,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,DePaul,CollegeUniversity,1
76773,HarryGallatin,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,TrumanState,CollegeUniversity,1
79313,FrankBroyles,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,GeorgiaTech,CollegeUniversity,0
79312,HerbWilkinson,1947,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Iowa,CollegeUniversity,0
77036,BearTheBodyHoffman,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Purdue,CollegeUniversity,1
77072,BobHubbard,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Springfield,CollegeUniversity,1
78650,MattZunic,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,GeorgeWashington,CollegeUniversity,1
79279,GeorgeFelt,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Northwestern,CollegeUniversity,0
79280,JohnKelly,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,NotreDame,CollegeUniversity,0
79282,RalphBishop,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Washington,CollegeUniversity,0
79283,HankDecker,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,WestTexasAM,CollegeUniversity,0
79284,JackStone,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,KansasState,CollegeUniversity,0
79285,RayEvans,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Kansas,CollegeUniversity,0
79287,GarlandHead,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,TexasTech,CollegeUniversity,0
79288,RonLivingston,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,StMarysCA,CollegeUniversity,0
79289,DanMiller,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,SaintLouis,CollegeUniversity,0
79290,CarlReichert,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Findlay,CollegeUniversity,0
79291,TomTomlinson,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,SouthernMethodist,CollegeUniversity,0
79292,NormanButz,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,SaintJosephs,CollegeUniversity,0
79293,JimKaeding,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,YorkPA,CollegeUniversity,0
79294,EdKoffenberger,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Duke,CollegeUniversity,0
79295,BobAlamo,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,SantaClara,CollegeUniversity,0
79297,DickIves,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,Iowa,CollegeUniversity,0
79298,HermanKnoche,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,WashingtonJefferson,CollegeUniversity,0
79300,JackWalton,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,DePaul,CollegeUniversity,0
