id,full_name,first_name,last_name,is_active
76001,AlaaAbdelnaby,Alaa,Abdelnaby,0
76002,ZaidAbdulAziz,Zaid,AbdulAziz,0
76003,KareemAbdulJabbar,Kareem,AbdulJabbar,0
51,MahmoudAbdulRauf,Mahmoud,AbdulRauf,0
1505,TariqAbdulWahad,Tariq,AbdulWahad,0
949,ShareefAbdurRahim,Shareef,AbdurRahim,0
76005,TomAbernethy,Tom,Abernethy,0
76006,ForestAble,Forest,Able,0
76007,JohnAbramovic,John,Abramovic,0
203518,AlexAbrines,Alex,Abrines,0
1630173,PreciousAchiuwa,Precious,Achiuwa,1
101165,AlexAcker,Alex,Acker,0
76008,DonaldAckerman,Donald,Ackerman,0
76009,MarkAcres,Mark,Acres,0
76010,CharlesActon,Charles,Acton,0
203112,QuincyAcy,Quincy,Acy,0
76011,AlvanAdams,Alvan,Adams,0
76012,DonAdams,Don,Adams,0
200801,HassanAdams,Hassan,Adams,0
1629121,JaylenAdams,Jaylen,Adams,0
203919,JordanAdams,Jordan,Adams,0
149,MichaelAdams,Michael,Adams,0
203500,StevenAdams,Steven,Adams,1
912,RafaelAddison,Rafael,Addison,0
1628389,BamAdebayo,Bam,Adebayo,1
1629061,DengAdel,Deng,Adel,0
76015,RickAdelman,Rick,Adelman,0
202399,JeffAdrien,Jeff,Adrien,0
201167,ArronAfflalo,Arron,Afflalo,0
1630534,OchaiAgbaji,Ochai,Agbaji,1
200772,MauriceAger,Maurice,Ager,0
76016,MarkAguirre,Mark,Aguirre,0
201336,BlakeAhearn,Blake,Ahearn,0
76017,DannyAinge,Danny,Ainge,0
201582,AlexisAjinca,Alexis,Ajinca,0
76018,HenryAkin,Henry,Akin,0
203006,JoshAkognon,Josh,Akognon,0
1629152,DeVaughnAkoonPurcell,DeVaughn,AkoonPurcell,0
202374,SolomonAlabi,Solomon,Alabi,0
76019,MarkAlarie,Mark,Alarie,0
76020,GaryAlcorn,Gary,Alcorn,0
1630583,SantiAldama,Santi,Aldama,1
203128,FurkanAldemir,Furkan,Aldemir,0
202332,ColeAldrich,Cole,Aldrich,0
200746,LaMarcusAldridge,LaMarcus,Aldridge,0
76021,ChuckAleksinas,Chuck,Aleksinas,0
1626146,CliffAlexander,Cliff,Alexander,0
724,CoryAlexander,Cory,Alexander,0
2042,CourtneyAlexander,Courtney,Alexander,0
76022,GaryAlexander,Gary,Alexander,0
201570,JoeAlexander,Joe,Alexander,0
1629734,KyleAlexander,Kyle,Alexander,0
1630234,TyShonAlexander,TyShon,Alexander,0
2349,VictorAlexander,Victor,Alexander,0
1629638,NickeilAlexanderWalker,Nickeil,AlexanderWalker,1
76024,SteveAlford,Steve,Alford,0
1628959,RawleAlkins,Rawle,Alkins,0
76028,BobAllen,Bob,Allen,0
1628960,GraysonAllen,Grayson,Allen,1
1628386,JarrettAllen,Jarrett,Allen,1
706,JeromeAllen,Jerome,Allen,0
1628443,KadeemAllen,Kadeem,Allen,0
202730,LavoyAllen,Lavoy,Allen,0
76027,LuciusAllen,Lucius,Allen,0
2124,MalikAllen,Malik,Allen,0
76025,RandyAllen,Randy,Allen,0
951,RayAllen,Ray,Allen,0
2754,TonyAllen,Tony,Allen,0
76029,OdisAllison,Odis,Allison,0
200984,LanceAllred,Lance,Allred,0
76030,DarrellAllums,Darrell,Allums,0
201165,MorrisAlmond,Morris,Almond,0
308,DerrickAlston,Derrick,Alston,0
1747,RaferAlston,Rafer,Alston,0
1824,PeterAluma,Peter,Aluma,0
1630631,JoseAlvarado,Jose,Alvarado,1
680,JohnAmaechi,John,Amaechi,0
732,AshrafAmaya,Ashraf,Amaya,0
202329,AlFarouqAminu,AlFarouq,Aminu,0
200811,LouAmundson,Lou,Amundson,0
76034,BobAnderegg,Bob,Anderegg,0
2365,ChrisAndersen,Chris,Andersen,0
2431,DavidAndersen,David,Andersen,0
101187,AlanAnderson,Alan,Anderson,0
