id,full_name,abbreviation,nickname,city,state,year_founded
1610612737,AtlantaHawks,ATL,Hawks,Atlanta,Atlanta,1949.0
1610612738,BostonCeltics,BOS,Celtics,Boston,Massachusetts,1946.0
1610612739,ClevelandCavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0
1610612740,NewOrleansPelicans,NOP,Pelicans,NewOrleans,Louisiana,2002.0
1610612741,ChicagoBulls,CHI,Bulls,Chicago,Illinois,1966.0
1610612742,DallasMavericks,DAL,Mavericks,Dallas,Texas,1980.0
1610612743,DenverNuggets,DEN,Nuggets,Denver,Colorado,1976.0
1610612744,GoldenStateWarriors,GSW,Warriors,GoldenState,California,1946.0
1610612745,HoustonRockets,HOU,Rockets,Houston,Texas,1967.0
1610612746,LosAngelesClippers,LAC,Clippers,LosAngeles,California,1970.0
1610612747,LosAngelesLakers,LAL,Lakers,LosAngeles,California,1948.0
1610612748,MiamiHeat,MIA,Heat,Miami,Florida,1988.0
1610612749,MilwaukeeBucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0
1610612750,MinnesotaTimberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989.0
1610612751,BrooklynNets,BKN,Nets,Brooklyn,NewYork,1976.0
1610612752,NewYorkKnicks,NYK,Knicks,NewYork,NewYork,1946.0
1610612753,OrlandoMagic,ORL,Magic,Orlando,Florida,1989.0
1610612754,IndianaPacers,IND,Pacers,Indiana,Indiana,1976.0
1610612755,Philadelphia76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0
1610612756,PhoenixSuns,PHX,Suns,Phoenix,Arizona,1968.0
1610612757,PortlandTrailBlazers,POR,TrailBlazers,Portland,Oregon,1970.0
1610612758,SacramentoKings,SAC,Kings,Sacramento,California,1948.0
1610612759,SanAntonioSpurs,SAS,Spurs,SanAntonio,Texas,1976.0
1610612760,OklahomaCityThunder,OKC,Thunder,OklahomaCity,Oklahoma,1967.0
1610612761,TorontoRaptors,TOR,Raptors,Toronto,Ontario,1995.0
1610612762,UtahJazz,UTA,Jazz,Utah,Utah,1974.0
1610612763,MemphisGrizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0
1610612764,WashingtonWizards,WAS,Wizards,Washington,DistrictofColumbia,1961.0
1610612765,DetroitPistons,DET,Pistons,Detroit,Michigan,1948.0
1610612766,CharlotteHornets,CHA,Hornets,Charlotte,NorthCarolina,1988.0
