team_id,abbreviation,nickname,yearfounded,city,arena,arenacapacity,owner,generalmanager,headcoach,dleagueaffiliation,facebook,instagram,twitter
1610612737,ATL,Hawks,1949.0,Atlanta,StateFarmArena,18729.0,TonyRessler,TravisSchlenk,QuinSnyder,CollegeParkSkyhawks,httpswwwfacebookcomhawks,httpsinstagramcomatlhawks,httpstwittercomATLHawks
1610612741,CHI,Bulls,1966.0,Chicago,UnitedCenter,21711.0,MichaelReinsdorf,ArturasKarnisovas,BillyDonovan,WindyCityBulls,httpswwwfacebookcomchicagobulls,httpsinstagramcomchicagobulls,httpstwittercomchicagobulls
1610612742,DAL,Mavericks,1980.0,Dallas,AmericanAirlinesCenter,19200.0,MarkCuban,NicoHarrison,JasonKidd,TexasLegends,httpswwwfacebookcomdallasmavs,httpsinstagramcomdallasmavs,httpstwittercomdallasmavs
1610612745,HOU,Rockets,1967.0,Houston,ToyotaCenter,18104.0,TilmanFertitta,RafaelStone,ImeUdoka,RioGrandeValleyVipers,httpswwwfacebookcomhoustonrockets,httpsinstagramcomhoustonrockets,httpstwittercomHoustonRockets
1610612746,LAC,Clippers,1970.0,LosAngeles,CryptocomArena,19060.0,SteveBallmer,MichaelWinger,TyronnLue,AguaCalienteClippersofOntario,httpswwwfacebookcomLAClippers,httpsinstagramcomlaclippers,httpstwittercomLAClippers
1610612747,LAL,Lakers,1948.0,LosAngeles,CryptocomArena,19060.0,JeanieBuss,RobPelinka,DarvinHam,SouthBayLakers,httpswwwfacebookcomlosangeleslakers,httpsinstagramcomlakers,httpstwittercomLakers
1610612748,MIA,Heat,1988.0,Miami,KaseyaCenter,19600.0,MickyArison,PatRiley,ErikSpoelstra,SiouxFallsSkyforce,httpswwwfacebookcomMiamiHeat,httpsinstagramcommiamiheat,httpstwittercomMiamiHEAT
1610612749,MIL,Bucks,1968.0,Milwaukee,FiservForum,17500.0,WesleyEdensMarcLasry,JonHorst,AdrianGriffin,WisconsinHerd,httpswwwfacebookcommilwaukeebucks,httpsinstagramcombucks,httpstwittercomBucks
1610612750,MIN,Timberwolves,1989.0,Minnesota,TargetCenter,19356.0,GlenTaylor,TimConnelly,ChrisFinch,IowaWolves,httpswwwfacebookcomMNTimberwolves,httpsinstagramcomtimberwolves,httpstwittercomTimberwolves
1610612754,IND,Pacers,1976.0,Indiana,GainbridgeFieldhouse,18345.0,HerbSimon,KevinPritchard,RickCarlisle,FortWayneMadAnts,httpswwwfacebookcompacers,httpsinstagramcompacers,httpstwittercomPacers
1610612757,POR,TrailBlazers,1970.0,Portland,ModaCenter,19980.0,JodyAllen,JoeCronin,ChaunceyBillups,NoAffiliate,httpswwwfacebookcomtrailblazers,httpsinstagramcomtrailblazers,httpstwittercomtrailblazers
1610612758,SAC,Kings,1948.0,Sacramento,Golden1Center,17500.0,VivekRanadive,MonteMcNair,MikeBrown,StocktonKings,httpswwwfacebookcomsacramentokings,httpsinstagramcomsacramentokings,httpstwittercomSacramentoKings
1610612759,SAS,Spurs,1976.0,SanAntonio,ATTCenter,18694.0,PeterHolt,BrianWright,GreggPopovich,AustinSpurs,httpswwwfacebookcomSpurs,httpsinstagramcomspurs,httpstwittercomspurs
1610612763,MEM,Grizzlies,1995.0,Memphis,FedExForum,18119.0,RobertPera,ZachKleiman,TaylorJenkins,MemphisHustle,httpswwwfacebookcomMemphisGrizzlies,httpsinstagramcommemgrizz,httpstwittercommemgrizz
1610612764,WAS,Wizards,1961.0,Washington,CapitalOneArena,20647.0,TedLeonsis,TommySheppard,WesUnseld,CapitalCityGoGo,httpswwwfacebookcomWizards,httpsinstagramcomwashwizards,httpstwittercomWashWizards
1610612766,CHA,Hornets,1988.0,Charlotte,SpectrumCenter,19026.0,MichaelJordan,MitchKupchak,SteveClifford,GreensboroSwarm,httpswwwfacebookcomhornets,httpsinstagramcomhornets,httpstwittercomhornets
